FarmerID,State,Gender,Age,Crop,FarmSize_Ha,Yield_Tons,AnnualRevenue_NGN,FertilizerUsed,LoanAmount_NGN
F0001,Lagos,female,35,Yam,3.92,54.2,,Yes,249957
F0002,Borno,male,N/A,Yam,unknown,43.69,,Yes,
F0003,Kaduna,Female,,Rice,2.77,,,Yes,3853935
F0004,Rivers,Male,,Soybean,unknown,5.75,,Yes,1952791
F0005,Enugu,female,,Cassava,9.57,53.68,10269522,,2053622
F0006,Benue,female,N/A,Yam,17.27,18.48,,N,2245973
F0007,Kogi,female,38, Rice,unknown,,2392608,,
F0008,Rivers,male,,Yam,24.93,40.86,12729920,Yes,1282125
F0009,Rivers,male,,maize ,,42.42,11463261,,
F0010,Rivers,Female,47,Sorghum,24.31,40.71,,,1668587
F0011,Kaduna,male,N/A,Maize,,,,No,485911
F0012,Kano,Male,,Rice,unknown,61.31,,,
F0013,Kogi,F,N/A,Yam,,,,Yes,2079583
F0014,Lagos,male,53,Yam,unknown,50.56,1180789,Y,594394
F0015,Enugu,Female,52, Rice,,64.64,1632524,N,
F0016,KANO,Male,N/A,Rice,unknown,27.28,4221761,No,
F0017,Kaduna,M,47,Rice,unknown,8.01,1614689,No,
F0018,Rivers,Male,,Maize,,,,,4082495
F0019,Oyo,Male,N/A,Maize,18.83,,8486429,Yes,4259974
F0020,Kano,male,N/A,Yam,unknown,19.85,10441497,N,
F0021,Oyo,female,,Yam,7.01,,,Yes,
F0022,Kogi,Male,N/A,Yam,12.89,74.67,14801706,Y,2390647
F0023,Borno,female,N/A,Maize,unknown,24.09,14782525,Y,968285
F0024,Kaduna,M,N/A,Yam,18.08,,,Y,426132
F0025,Benue,Male,,Cassava,,,,,81115
F0026,KANO,Female,52,Soybean,14.77,34.5,,Yes,3001521
F0027,lagos,Male,N/A,maize ,unknown,12.53,14555676,No,3458576
F0028,Nasarawa,,N/A,Yam,unknown,8.83,,No,
F0029,,,32,Maize,,26.4,,Y,
F0030,Borno,M,19,Sorghum,,,,N,4290127
F0031,Kogi,Female,34,maize ,unknown,55.01,,Yes,
F0032,Kano,female,,Sorghum,,,9351497,No,
F0033,Kaduna,male,,maize ,13.92,24.45,,N,
F0034,Borno,F,N/A,Cassava,,,1616777,Y,1884422
F0035,Lagos,Female,N/A,Rice,unknown,,,No,1237918
F0036,,Male,,Yam,unknown,41.53,9401717,Yes,3829079
F0037,lagos,male,N/A,Soybean,,,,No,
F0038,Oyo,,, Rice,,,,Y,2681918
F0039,Oyo,F,62,Yam,,,7025534,No,
F0040,Kogi,female,N/A,maize ,,,,,4581289
F0041,Benue,F,49,maize ,unknown,63.89,,No,4480553
F0042,Kogi,male,60,Rice,16.25,69.37,,N,2746033
F0043,Nasarawa,,,Sorghum,,20.33,7940439,,
F0044,Kano,,59,Maize,23.77,67.17,4052120,N,959568
F0045,Benue,,41,Rice,19.56,77.18,9758718,Y,
