FarmerID,State,Gender,Age,Crop,FarmSize_Ha,Yield_Tons,AnnualRevenue_NGN,FertilizerUsed,LoanAmount_NGN
F0001,Lagos,female,35,Yam,3.92,54.2,,Yes,249957
F0002,Borno,Male,,Yam,,43.69,,Yes,
F0003,Kaduna,Female,,Rice,2.77,,,Yes,3853935
F0004,Rivers,Male,,Soybean,,5.75,,Yes,1952791
F0005,Enugu,female,,Cassava,9.57,53.68,10269522,,2053622
F0006,Benue,female,,Yam,17.27,18.48,,No,2245973
F0007,Kogi,female,38,Rice,,,2392608,,
F0008,Rivers,Male,,Yam,24.93,40.86,12729920,Yes,1282125
F0009,Rivers,Male,,Maize,,42.42,11463261,,
F0010,Rivers,Female,47,Sorghum,24.31,40.71,,,1668587
F0011,Kaduna,Male,,Maize,,,,No,485911
F0012,Kano,Male,,Rice,,61.31,,,
F0013,Kogi,Female,,Yam,,,,Yes,2079583
F0014,Lagos,Male,53,Yam,,50.56,1180789,Yes,594394
F0015,Enugu,Female,52,Rice,,64.64,1632524,No,
F0016,Kano,Male,,Rice,,27.28,4221761,No,
F0017,Kaduna,Male,47,Rice,,8.01,1614689,No,
F0018,Rivers,Male,,Maize,,,,,4082495
F0019,Oyo,Male,,Maize,18.83,,8486429,Yes,4259974
F0020,Kano,Male,,Yam,,19.85,10441497,No,
F0021,Oyo,female,,Yam,7.01,,,Yes,
F0022,Kogi,Male,,Yam,12.89,74.67,14801706,Yes,2390647
F0023,Borno,female,,Maize,,24.09,14782525,Yes,968285
F0024,Kaduna,Male,,Yam,18.08,,,Yes,426132
F0025,Benue,Male,,Cassava,,,,,81115
F0026,Kano,Female,52,Soybean,14.77,34.5,,Yes,3001521
F0027,Lagos,Male,,Maize,,12.53,14555676,No,3458576
F0028,Nasarawa,,,Yam,,8.83,,No,
F0029,,,32,Maize,,26.4,,Yes,
F0030,Borno,Male,19,Sorghum,,,,No,4290127
F0031,Kogi,Female,34,Maize,,55.01,,Yes,
F0032,Kano,female,,Sorghum,,,9351497,No,
F0033,Kaduna,Male,,Maize,13.92,24.45,,No,
F0034,Borno,Female,,Cassava,,,1616777,Yes,1884422
F0035,Lagos,Female,,Rice,,,,No,1237918
F0036,,Male,,Yam,,41.53,9401717,Yes,3829079
F0037,Lagos,Male,,Soybean,,,,No,
F0038,Oyo,,,Rice,,,,Yes,2681918
F0039,Oyo,Female,62,Yam,,,7025534,No,
F0040,Kogi,female,,Maize,,,,,4581289
F0041,Benue,Female,49,Maize,,63.89,,No,4480553
F0042,Kogi,Male,60,Rice,16.25,69.37,,No,2746033
F0043,Nasarawa,,,Sorghum,,20.33,7940439,,
F0044,Kano,,59,Maize,23.77,67.17,4052120,No,959568
F0045,Benue,,41,Rice,19.56,77.18,9758718,Yes,
F0046,Kano,Female,,Yam,,68.05,13408475,Yes,
F0047,Kano,Male,,Maize,,,,No,3653130
F0048,Lagos,Male,,Rice,,,14339375,Yes,
F0049,Enugu,Male,,Maize,,68.11,8229730,Yes,
F0050,Kogi,female,,Maize,13.16,,8246976,No,
F0051,Kano,Male,,Yam,,,,Yes,
F0052,Oyo,Male,64,Soybean,,76.08,3263524,No,
F0053,Oyo,Male,,Cassava,,,813626,,2450619
F0054,,Female,24,Sorghum,,27.39,,Yes,
F0055,Kogi,female,61,Cassava,,75.94,4213953,,3491120
F0056,Rivers,Female,,Maize,,5.01,12846605,No,2220012
F0057,Kaduna,Male,22,Maize,,,597605,Yes,
F0058,Oyo,Male,,Yam,,18.14,4506573,Yes,500280
F0059,Kogi,female,,Sorghum,,,,No,674795
F0060,Kano,Male,,Maize,,66.91,,,337487
F0061,Lagos,Female,35,Maize,,,,Yes,2693231
F0062,Nasarawa,Female,,Sorghum,,65.12,7680712,Yes,
F0063,,Female,,Maize,,37.07,,,
F0064,Oyo,Male,53,Sorghum,,38.88,10620019,No,2606761
F0065,Kano,Female,71,Rice,,,,,
F0066,Enugu,Female,,Cassava,,40.76,14545966,Yes,
F0067,Borno,Male,70,Sorghum,,,14566663,No,
F0068,Borno,,,Rice,23.35,78.47,,No,3445831
F0069,Enugu,female,,Maize,,,671086,,
F0070,Enugu,Male,,Maize,,69.7,,Yes,
F0071,Nasarawa,,,Maize,,,14686158,,573954
F0072,Benue,Female,65,Maize,,56.37,7493690,Yes,242827
F0073,Lagos,Male,,Maize,,33.08,2901852,Yes,3209014
F0074,Kogi,Female,,Sorghum,,,4875658,Yes,
F0075,Benue,female,,Sorghum,,,,Yes,
F0076,Kogi,Male,,Maize,,31.79,9544713,,
F0077,Oyo,Male,,Yam,,20.2,10590254,Yes,
F0078,Nasarawa,female,26,Sorghum,,14.22,,,
F0079,Benue,,,Soybean,,77.04,12702562,No,
F0080,Rivers,Male,,Rice,,,,Yes,908872
F0081,Kogi,Male,,Yam,,,,Yes,1172534
F0082,Benue,Female,25,Yam,22.24,,,,
F0083,Enugu,Male,,Maize,17.41,35.58,,Yes,
F0084,Benue,Female,,Rice,,51.23,,No,1056326
F0085,,Male,,Yam,20.42,26.42,13281246,Yes,1213730
F0086,,Female,,Maize,,63.24,,Yes,
F0087,Kano,Female,51,Rice,,41.16,7633392,,
F0088,Lagos,Male,,Maize,,,1282969,Yes,1244314
